Orbits integrated with JPL ephemerides, version jup365.bsp starting at 2.443e6 .
The synthetic times include Normally sampled noise with zero mean and 30 second standard deviation.
#body	ntrans	tt	sigtt
1.0	88.0	157.05937837203965	0.00034722222222222224
1.0	89.0	158.8280533151701	0.00034722222222222224
1.0	90.0	160.59722435986623	0.00034722222222222224
1.0	91.0	162.36651111673564	0.00034722222222222224
1.0	92.0	164.13608166016638	0.00034722222222222224
1.0	93.0	165.90543788764626	0.00034722222222222224
1.0	94.0	167.6742527037859	0.00034722222222222224
1.0	95.0	169.44308952754363	0.00034722222222222224
1.0	96.0	171.21329123852775	0.00034722222222222224
1.0	97.0	172.98195423046127	0.00034722222222222224
1.0	98.0	174.75174820423126	0.00034722222222222224
1.0	99.0	176.51998540665954	0.00034722222222222224
1.0	100.0	178.28991389740258	0.00034722222222222224
1.0	101.0	180.0589184500277	0.00034722222222222224
1.0	102.0	181.827324509155	0.00034722222222222224
1.0	103.0	183.59740312583745	0.00034722222222222224
1.0	104.0	185.36643615504727	0.00034722222222222224
1.0	105.0	187.13536746427417	0.00034722222222222224
1.0	106.0	188.90490979980677	0.00034722222222222224
1.0	107.0	190.67405503056943	0.00034722222222222224
1.0	108.0	192.44312491174787	0.00034722222222222224
1.0	109.0	194.21242798678577	0.00034722222222222224
1.0	110.0	195.98170305602252	0.00034722222222222224
1.0	111.0	197.74995155399665	0.00034722222222222224
1.0	112.0	199.5203994992189	0.00034722222222222224
1.0	113.0	201.28883091779426	0.00034722222222222224
1.0	114.0	203.05833226349205	0.00034722222222222224
1.0	115.0	204.82769124722108	0.00034722222222222224
1.0	116.0	206.59618917154148	0.00034722222222222224
1.0	117.0	208.36505844350904	0.00034722222222222224
1.0	118.0	210.13468152936548	0.00034722222222222224
1.0	119.0	211.90455725090578	0.00034722222222222224
1.0	120.0	213.67309754248708	0.00034722222222222224
1.0	121.0	215.44267784198746	0.00034722222222222224
1.0	122.0	217.21171943703666	0.00034722222222222224
1.0	123.0	218.98083971673623	0.00034722222222222224
1.0	124.0	220.75002119550481	0.00034722222222222224
1.0	125.0	222.51917327893898	0.00034722222222222224
1.0	126.0	224.2888262863271	0.00034722222222222224
1.0	127.0	226.0572807644494	0.00034722222222222224
1.0	128.0	227.8267829963006	0.00034722222222222224
1.0	129.0	229.59585262276232	0.00034722222222222224
1.0	130.0	231.36542746657506	0.00034722222222222224
